 ,Label,Area,Mean,X,Y,Feret,%Area,Slice,FeretX,FeretY,FeretAngle,MinFeret
232,Stack:1,0.243,255,7.555,25.327,1.195,100,1,7.129,25.034,149.931,0.433
233,Stack:1,0.264,255,9.746,25.795,1.344,100,1,9.578,26.340,68.629,0.453
234,Stack:1,0.184,255,8.608,25.508,0.963,100,1,8.327,25.850,47.291,0.414
235,Stack:1,0.483,255,1.683,25.757,1.352,100,1,1.143,25.197,130.101,0.701
236,Stack:1,0.252,255,5.822,25.765,1.253,100,1,5.224,26.231,55.620,0.646
237,Stack:1,0.101,255,0.114,26.001,0.547,100,1,0.000,25.741,95.711,0.327
238,Stack:1,1.451,255,3.551,27.233,3.937,100,1,2.014,28.408,40.515,0.644
239,Stack:1,1.045,255,16.381,27.225,3.359,100,1,15.238,28.571,49.600,0.431
240,Stack:1,0.193,255,15.420,26.629,1.154,100,1,15.020,27.048,45.000,0.263
241,Stack:1,0.207,255,10.348,26.688,1.027,100,1,10.068,26.286,122.005,0.372
242,Stack:1,0.610,255,22.292,27.429,3.200,100,1,21.170,26.340,138.447,0.397
243,Stack:1,0.379,255,0.536,27.016,1.110,100,1,0.544,27.483,78.690,0.645
244,Stack:1,1.099,255,17.920,27.671,3.310,100,1,16.544,28.789,43.668,0.724
245,Stack:1,0.231,255,6.613,26.835,0.898,100,1,6.204,26.830,14.036,0.462
246,Stack:1,0.110,255,19.426,26.850,0.579,100,1,19.265,26.612,131.186,0.308
247,Stack:1,0.118,255,12.648,27.023,0.697,100,1,12.517,27.320,51.340,0.304
248,Stack:1,0.101,255,23.808,27.304,0.886,100,1,23.510,26.993,132.510,0.219
249,Stack:1,0.272,255,13.594,27.490,1.540,100,1,12.898,27.918,32.005,0.281
250,Stack:1,1.105,255,6.361,28.303,2.735,100,1,5.878,27.156,121.159,1.164
251,Stack:1,0.142,255,11.584,27.512,0.693,100,1,11.320,27.755,45.000,0.346
252,Stack:1,0.181,255,6.982,27.687,0.912,100,1,6.585,27.755,17.354,0.379
253,Stack:1,0.361,255,8.201,28.036,0.925,100,1,8.000,28.463,61.928,0.632
254,Stack:1,0.536,255,20.038,28.598,1.256,100,1,19.810,29.116,72.350,0.827
255,Stack:1,0.178,255,12.283,28.496,0.852,100,1,12.136,28.898,63.435,0.367
256,Stack:1,0.569,255,15.691,28.852,1.361,100,1,15.075,29.116,36.870,0.749
257,Stack:1,0.773,255,0.727,29.134,2.134,100,1,0.000,29.932,37.747,0.570
258,Stack:1,0.826,255,24.521,30.235,4.851,100,1,22.367,28.571,136.818,0.808
259,Stack:1,0.169,255,4.706,28.835,0.809,100,1,4.354,29.007,19.654,0.327
260,Stack:1,0.121,255,25.803,28.984,0.589,100,1,25.633,28.735,123.690,0.341
261,Stack:1,0.107,255,13.028,29.067,0.487,100,1,12.952,28.844,116.565,0.327
262,Stack:1,0.258,255,3.667,29.418,1.298,100,1,3.320,29.986,56.976,0.327
263,Stack:1,0.201,255,13.536,29.330,0.658,100,1,13.224,29.388,24.444,0.500
264,Stack:1,0.166,255,25.052,29.648,1.241,100,1,24.490,29.224,142.125,0.269
265,Stack:1,0.551,255,5.182,29.844,2.387,100,1,4.136,30.857,43.152,0.600
266,Stack:1,0.521,255,9.686,29.743,1.165,100,1,9.415,30.204,52.595,0.804
267,Stack:1,0.361,255,21.106,29.911,1.938,100,1,20.245,29.442,141.843,0.495
268,Stack:1,0.142,255,2.283,29.788,0.809,100,1,2.014,29.497,132.274,0.357
269,Stack:1,0.936,255,18.314,30.596,3.170,100,1,17.850,29.605,124.509,1.171
270,Stack:1,0.373,255,11.506,30.166,1.175,100,1,11.483,29.551,103.392,0.674
271,Stack:1,0.684,255,23.788,30.649,2.772,100,1,22.857,29.605,133.409,0.577
272,Stack:1,0.118,255,13.875,30.107,0.616,100,1,13.605,29.932,135.000,0.363
273,Stack:1,0.225,255,1.737,30.289,0.893,100,1,1.361,30.585,37.569,0.423
274,Stack:1,0.637,255,20.604,31.423,3.544,100,1,19.429,30.150,132.510,0.301
275,Stack:1,0.933,255,8.960,30.873,2.194,100,1,8.109,30.694,156.615,1.297
276,Stack:1,0.453,255,6.066,31.143,2.739,100,1,5.007,32.109,40.972,0.348
277,Stack:1,0.281,255,14.797,30.712,1.464,100,1,14.204,30.313,138.013,0.448
278,Stack:1,0.258,255,2.514,31.043,1.253,100,1,2.068,31.510,55.620,0.484
